"STT","Nhóm chức năng","Phương thức","Endpoint","Mô tả chi tiết","Tác nhân truy cập"
"1","Xác thực & Tài khoản","POST","/api/v1/auth/login","Xác thực (email+pass), trả về JWT & Refresh token. Khóa sau 5 lần sai.","Tất cả"
"2","Xác thực & Tài khoản","POST","/api/v1/auth/logout","Hủy phiên, blacklist JWT, xóa refresh token.","Tất cả"
"3","Xác thực & Tài khoản","POST","/api/v1/auth/refresh-token","Lấy access token mới từ refresh token.","Tất cả"
"4","Xác thực & Tài khoản","POST","/api/v1/auth/forgot-password","Gửi OTP/Link reset mật khẩu về Email/SĐT.","Tất cả"
"5","Xác thực & Tài khoản","POST","/api/v1/auth/reset-password","Xác thực OTP và cập nhật mật khẩu mới.","Tất cả"
"6","Xác thực & Tài khoản","GET/PUT","/api/v1/account/me","Xem/Cập nhật thông tin cá nhân (họ tên, SĐT) và role.","Tất cả"
"7","Xác thực & Tài khoản","PUT","/api/v1/account/me/password","Đổi mật khẩu chủ động (yêu cầu mật khẩu cũ).","Tất cả"
"8","Hội viên & Giao dịch","GET","/api/v1/members","Danh sách hội viên + bộ lọc (tên, SĐT, trạng thái gói).","Nhân viên, Chủ PT"
"9","Hội viên & Giao dịch","POST","/api/v1/members","Đăng ký mới: lưu thông tin, vân tay, chọn gói, tạo thanh toán.","Nhân viên"
"10","Hội viên & Giao dịch","GET","/api/v1/members/{id}","Chi tiết hồ sơ: thông tin, gói tập, tóm tắt lịch sử tập.","NV, PT, Hội viên"
"11","Hội viên & Giao dịch","PUT","/api/v1/members/{id}","Cập nhật hồ sơ (địa chỉ, SĐT, thông tin khẩn cấp).","Nhân viên"
"12","Hội viên & Giao dịch","PATCH","/api/v1/members/{id}/status","Kích hoạt hoặc khóa tài khoản hội viên.","Nhân viên, Chủ PT"
"13","Hội viên & Giao dịch","POST","/api/v1/members/{id}/renew","Gia hạn/Nâng cấp gói: tính ngày mới, tạo thanh toán.","NV, Hội viên"
"14","Hội viên & Giao dịch","GET","/api/v1/members/{id}/transactions","Xem lịch sử giao dịch (ngày, tiền, phương thức, trạng thái).","NV, Hội viên"
"15","Hội viên & Giao dịch","GET","/api/v1/members/{id}/tx/{txId}/receipt","Xuất biên lai PDF cho giao dịch cụ thể.","NV, Hội viên"
"16","Hội viên & Giao dịch","POST","/api/v1/payments/webhook","Nhận callback từ cổng thanh toán, cập nhật trạng thái gói.","Hệ thống thanh toán"
"17","Vận hành tập luyện","GET","/api/v1/training/schedule","Xem lịch tập cá nhân theo tuần/tháng.","Hội viên, PT"
"18","Vận hành tập luyện","POST","/api/v1/training/schedule","Đặt lịch tập với PT (check xung đột lịch).","Hội viên, Nhân viên"
"19","Vận hành tập luyện","POST","/api/v1/training/sessions/auto-log","Check-in vân tay/thẻ từ: tự động ghi nhận & trừ buổi.","Thiết bị kiểm soát"
"20","Vận hành tập luyện","GET","/api/v1/training/sessions/{member_id}","Lịch sử chi tiết các buổi tập (ngày, phòng, PT).","HV, PT, NV"
"21","Vận hành tập luyện","GET","/api/v1/training/progress/{member_id}","Lấy biểu đồ BMI, cân nặng và chỉ số sức khỏe.","Hội viên, PT"
"22","Vận hành tập luyện","POST","/api/v1/training/progress/{member_id}/evaluate","PT nhập đánh giá sức khỏe và điều chỉnh giáo án.","PT"
"23","Cơ sở vật chất","GET","/api/v1/facilities","Danh sách phòng (Gym, Yoga...) + sức chứa, giờ mở cửa.","Tất cả"
"25","Cơ sở vật chất","POST","/api/v1/facilities","Thêm phòng tập mới và cấu hình sức chứa.","Nhân viên, Chủ PT"
"26","Cơ sở vật chất","PUT","/api/v1/facilities/{id}","Cập nhật tên, mô tả, sức chứa, trạng thái phòng.","Nhân viên, Chủ PT"
"27","Cơ sở vật chất","GET","/api/v1/equipment","Danh sách thiết bị + bộ lọc (phòng, loại, trạng thái).","Nhân viên, Chủ PT"
"28","Cơ sở vật chất","POST","/api/v1/equipment","Nhập thiết bị mới (mã máy, ngày nhập, bảo hành, vị trí).","Nhân viên, Chủ PT"
"29","Cơ sở vật chất","PUT","/api/v1/equipment/{id}","Cập nhật vị trí, thông tin bảo hành thiết bị.","Nhân viên"
"30","Cơ sở vật chất","PATCH","/api/v1/equipment/{id}/maintenance","Báo hỏng/Sửa xong: cập nhật trạng thái & báo kỹ thuật.","Nhân viên"
"31","Cơ sở vật chất","GET","/api/v1/equipment/{id}/history","Lịch sử sửa chữa, chi phí, người xử lý của một máy.","Nhân viên, Chủ PT"
"32","Quản trị & Nhân sự","GET","/api/v1/packages","Danh sách các gói tập đang mở bán.","Nhân viên, Hội viên"
"33","Quản trị & Nhân sự","POST","/api/v1/packages","Thiết lập gói tập mới (giá, thời hạn, quyền lợi).","Chủ phòng tập"
"34","Quản trị & Nhân sự","PUT","/api/v1/packages/{id}","Chỉnh sửa hoặc vô hiệu hóa (ẩn) gói tập cũ.","Chủ phòng tập"
"35","Quản trị & Nhân sự","GET","/api/v1/staff","Danh sách nhân viên (PT, Sales, Quản lý).","Chủ phòng tập"
"36","Quản trị & Nhân sự","POST","/api/v1/staff","Tạo hồ sơ NV mới + phân quyền + gửi email kích hoạt.","Chủ phòng tập"
"37","Quản trị & Nhân sự","PUT","/api/v1/staff/{id}","Cập nhật chức vụ, SĐT hoặc trạng thái nghỉ việc.","Chủ phòng tập"
"38","Quản trị & Nhân sự","GET/PUT","/api/v1/staff/{id}/schedule","Xem/Thiết lập ca làm việc (Sáng/Chiều/Tối).","Chủ phòng tập"
"39","Quản trị & Nhân sự","GET","/api/v1/permissions/groups","Xem các nhóm quyền hiện có và số thành viên.","Chủ phòng tập"
"40","Quản trị & Nhân sự","POST/DELETE","/api/v1/permissions/groups","Tạo mới hoặc xóa nhóm quyền không sử dụng.","Chủ phòng tập"
"41","Quản trị & Nhân sự","GET/POST/DELETE","/api/v1/permissions/groups/{id}/members","Quản lý thành viên (Thêm/Xóa) trong một nhóm quyền.","Chủ phòng tập"
"42","Quản trị & Nhân sự","PUT","/api/v1/permissions/groups/{id}/functions","Cấu hình chức năng (quyền hạn) cho cả nhóm.","Chủ phòng tập"
"43","Quản trị & Nhân sự","POST","/api/v1/permissions/assign-group","Gán nhanh người dùng vào nhóm quyền.","Chủ phòng tập"
"44","Phản hồi & Báo cáo","POST","/api/v1/feedbacks","Hội viên gửi đánh giá dịch vụ/thiết bị/nhân sự.","Hội viên"
"45","Phản hồi & Báo cáo","GET","/api/v1/feedbacks","Danh sách phản hồi theo loại và mức độ ưu tiên.","Nhân viên, Chủ PT"
"46","Phản hồi & Báo cáo","PATCH","/api/v1/feedbacks/{id}/resolve","Cập nhật kết quả xử lý phản hồi & báo cho HV.","Nhân viên, Chủ PT"
"47","Phản hồi & Báo cáo","GET","/api/v1/reports/revenue","Báo cáo doanh thu (theo gói, theo phương thức).","Chủ phòng tập"
"48","Phản hồi & Báo cáo","GET","/api/v1/reports/members","Thống kê tỷ lệ gia hạn, hội viên mới, tỷ lệ rời bỏ.","Chủ phòng tập"
"49","Phản hồi & Báo cáo","GET","/api/v1/reports/performance","Đánh giá hiệu suất PT (số buổi, điểm đánh giá).","Chủ phòng tập"
"50","Phản hồi & Báo cáo","GET","/api/v1/reports/attendance","Thống kê giờ cao điểm và tần suất sử dụng phòng.","Chủ phòng tập"
"51","Phản hồi & Báo cáo","GET","/api/v1/reports/{type}/export","Xuất báo cáo PDF/Excel theo khoảng thời gian.","Chủ phòng tập"
"52","Phản hồi & Báo cáo","GET","/api/v1/reports/history","Xem lịch sử các báo cáo đã xuất.","Chủ phòng tập"
"53","Thông báo","GET","/api/v1/notifications","Danh sách thông báo cá nhân (gói tập, biên lai...).","Tất cả"
"54","Thông báo","PATCH","/api/v1/notifications/{id}/read","Đánh giá thông báo là đã đọc.","Tất cả"
"55","Vận hành tập luyện","PUT","/api/v1/training/schedule/{id}","Cập nhật lịch tập với PT (thay đổi giờ, phòng, kiểm tra xung đột lịch).","Hội viên, Nhân viên"
"56","Vận hành tập luyện","DELETE","/api/v1/training/schedule/{id}","Hủy lịch tập đã đặt với PT.","Hội viên, Nhân viên"
"58","Hội viên & Giao dịch","DELETE","/api/v1/members/{id}/fingerprint","Xóa dữ liệu vân tay của hội viên khỏi hệ thống.","Nhân viên"
"60","Thông báo","DELETE","/api/v1/notifications/{id}","Xóa một thông báo cụ thể.","Tất cả"
